div | Description Text | Description | 20 | 863 | 350 | 36 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
h5 |  | Description | 20 | 863 | 350 | 36 | Switzer | 24px | 500 | 36px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
div | Description Content | High-floor Manhattan condo with iconic skyline vie | 20 | 909 | 350 | 68 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | High-floor Manhattan condo with iconic skyline vie | 20 | 909 | 350 | 68 | Switzer | 15px | 500 | 22.5px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
div | Property Deatils | Bedrooms 2 Bathrooms 2 Square Area 1,850 Year Buil | 20 | 1016 | 350 | 523 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(246, 246, 246) | 15px | 20px | 0px none rgb(0, 0, 0) | none | 1 | 25px | flex | none | none | fill | visible | relative
div | Bedroom | Bedrooms 2 | 40 | 1036 | 310 | 38 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | clip | relative
div | Bedrooms Stats | Bedrooms | 40 | 1036 | 121 | 38 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | clip | relative
div | Bedrooms Icon Container |  | 40 | 1036 | 38 | 38 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(255, 255, 255) | 7px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | clip | relative
div | Bedrooms Icon |  | 49 | 1045 | 20 | 20 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(8, 11, 15) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
div | Bedrooms Label | Bedrooms | 88 | 1044 | 73 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Bedrooms | 88 | 1044 | 73 | 23 | Switzer | 15px | 500 | 22.5px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
div | Bedrooms Count | 2 | 341 | 1044 | 9 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | 2 | 341 | 1044 | 9 | 22 | Switzer | 16px | 500 | 22.4px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
